Val,Post FT Obama,Region,State,R Age,Marital Status,Education,Military Service,Employed,R Race,R Gender,Pre FT Bush,Pre FT Obama,Pre FT McCain,Pre FT Biden,Pre FT Palin,Pre FT H Clinton,Pre FT B Clinton,Pre FT Condi,Pre FT Rush Lim,Pre FT Dem Party,Pre FT Rep Party,Post FT Bush,Post FT McCain,Post FT Biden,Post FT Palin,FT Rich People,FT Middle Class,FT Poor People,FT Working Class People,FT Ill Immigrants,FT People on Welfare,FT Liberals,FT Conservatives,FT Feminists,FT Environmentalists,FT Gay People,FT Big Business,FT Labor Unions,FT Military,FT Fed Govt,FT Supreme Court,FT Congress,FT Whites,FT Blacks,FT Hispanics,FT Asian Amer,FT Southerners,FT Christian Fundamentalis,FT Catholics,FT Jews,FT Israel,FT Muslims,FT Hindus,FT Christians,FT Atheists,One Party Control Pre,Better Worse Year Ago Pre,Own Stock Pre,Has Health Ins pre,Hopeful About Obama pre,Afraid of Obama pre,Care Who Wins pre,Expect Close Race pre,Duty to vote pre,Economy Better pre,Party ID pre,Iraq War pre,Impact on Terrorismc pre,Attitude to Uni Health Care,Welfare Spending pre,War on Terror Spending,Death Penalty,R Owns Gun,Religion Imp to R,Prays Often,R Born Again,Sexual Orientation,Should combat terrorists,Income Gap,Abortion,Abortion Importance,Prompt to recog Cheney,Prompt to recog Gordon Brown,Prompt to recog J Roberts,Crooks in Govt,Handling Afgan War,Handling Iraq War,Torture
out,50,South,AL,30,Never married,12,R has never served in the military,Student,White,Male  ,70,15,60,15,,15,30,15,50,0,60,70,70,30,85,50,85,85,85,0,85,50,50,0,15,0,50,0,85,0,15,0,50,50,50,50,85,0,100,50,50,50,50,50,0,Better when control is split,The same ,No,No,No,No,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Stayed about the same,,Kept about the same,Kept about the same,Favor,No,Important,A few times a week,Yes,Heterosexual or straight,Somewhat important,About the same,"4. By law, a woman should always be able to obtain an abortion as a",Not at all important,No,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
in,15,South,AL,79,Widowed,15,R has never served in the military,Homemaker,White,Female  ,100,0,70,50,85,0,0,100,70,30,100,100,70,15,85,50,100,85,100,40,100,40,100,70,50,40,85,60,100,60,85,40,85,85,40,50,100,70,85,100,85,0,50,100,0,Better when one party controls both,Better,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Decreased,Neither favor nor oppose,Increased,Kept about the same,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,About the same,,,No,No,Yes,Not very many are crooked,Neither approve nor disapprove,Approve,Neither favor nor oppose
out,70,South,AL,78,Widowed,15,R has never served in the military,Retired,White,Female  ,70,15,85,15,85,15,50,85,70,70,85,40,85,50,70,60,85,100,100,15,70,15,85,85,85,50,30,50,60,15,50,60,60,70,50,60,70,60,70,70,50,60,50,85,50,Better when control is split,Worse,No,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,,Stayed about the same,,Kept about the same,Kept about the same,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Very important,No,No,No,Quite a few are crooked,Disapprove,Disapprove,
out,85,South,AL,72,Widowed,17,R has never served in the military,Working now,White,Female  ,70,85,85,100,70,85,70,100,0,70,70,70,85,85,70,50,70,85,85,60,70,70,70,40,100,60,85,60,85,60,50,60,85,85,100,85,70,40,100,85,85,60,50,85,50,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,Increased,Kept about the same,Oppose,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
in,100,South,AL,21,Never married,12,Currently serving,Unemployed,Black,Female  ,15,85,30,,50,85,100,50,,100,30,30,15,50,50,100,100,100,100,0,50,50,50,50,100,85,85,50,85,50,50,50,85,85,85,85,100,100,50,85,100,70,50,100,0,Better when control is split,Worse,No,No,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Decreased,,Increased,Kept about the same,Favor,No,Important,Several times a day,No,Heterosexual or straight,Not important at all,About the same,"1. By law, abortion should never be permitted.",Extremely important,No,No,No,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,50,South,AL,27,Married,15,R has never served in the military,Working now,White,Male  ,15,40,40,,50,60,60,40,0,50,50,15,50,,50,50,60,40,70,40,30,50,50,50,85,50,50,60,85,50,40,40,50,50,50,50,60,50,50,50,50,40,50,50,50,Better when control is split,The same ,No,Yes,Yes,No,Dont care very much,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,,Increased,Increased,Favor,No,Not important,Never,No,Heterosexual or straight,Somewhat important,Somewhat larger,"3. The law should permit abortion for reasons other than rape, incest,",Somewhat important,No,No,No,Not very many are crooked,Disapprove,Disapprove,Favor
out,40,South,AL,61,Married,16,R has never served in the military,Working now,White,Male  ,30,40,85,100,70,85,85,70,0,40,50,30,85,100,85,100,100,100,100,50,50,50,50,60,70,50,50,30,100,15,50,15,100,100,50,100,100,40,100,100,100,50,50,100,50,Better when control is split,The same ,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Kept about the same,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
out,15,South,AL,51,Married,16,R has never served in the military,Working now,White,Male  ,85,0,70,0,85,0,0,100,70,0,70,60,70,5,85,85,85,85,85,0,,10,90,50,15,5,70,15,95,25,85,30,85,85,85,70,100,90,85,85,90,15,50,100,0,Better when one party controls both,Better,Yes,Yes,No,No,Care a good deal,Will be close,Yes,Stayed about the same,Republican,Worth it,Decreased,Oppose,Decreased,Decreased,Favor,Yes,Important,Once a day,Yes,Heterosexual or straight,Very important,About the same,,,No,No,No,Not very many are crooked,Approve,Approve,Oppose
out,85,South,AL,32,Never married,16,R has never served in the military,Working now,White,Female  ,40,40,70,50,85,85,70,70,50,65,60,40,50,50,65,45,100,100,100,50,50,100,70,60,100,100,40,80,50,45,50,85,85,75,50,50,85,50,50,100,50,50,50,85,70,Better when control is split,Better,Yes,Yes,No,No,Care a good deal,Will be close,No,Gotten worse,Independent,Not worth it,Stayed about the same,,Increased,Decreased,Favor,No,Not important,Several times a day,Yes,Homosexual or gay ,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
out,85,South,AL,87,Widowed,12,R has never served in the military,Homemaker,White,Female  ,30,60,60,85,60,70,85,30,40,30,60,60,60,70,40,70,70,100,70,0,100,60,60,60,40,60,60,60,85,60,70,70,100,100,30,40,100,60,70,85,70,15,30,100,0,Better when control is split,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Stayed about the same,Independent,Not worth it,Stayed about the same,,Increased,Kept about the same,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Very important,No,Yes,Yes,Hardly any are crooked,Disapprove,Disapprove,Oppose
out,100,West,AZ,37,Married,12,R has never served in the military,Working now,Hispanic or Latino,Female  ,0,60,60,,50,60,50,50,,60,0,50,60,60,60,50,100,100,100,60,50,50,50,50,85,50,50,50,50,50,50,60,50,50,100,50,50,60,100,50,50,50,50,60,50,Better when one party controls both,Better,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Decreased,,Kept about the same,Kept about the same,Favor,No,Important,Once a week or less,No,Heterosexual or straight,Very important,About the same,"1. By law, abortion should never be permitted.",Very important,No,Yes,No,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Neither favor nor oppose
in,100,West,AZ,28,Married,10,R has never served in the military,Homemaker,Hispanic or Latino,Female  ,30,100,0,70,0,50,85,70,0,70,50,60,40,85,0,50,100,100,100,100,,50,30,,50,70,40,,85,,15,,85,100,100,,,70,50,70,60,60,15,85,0,Better when one party controls both,The same ,No,Yes,Yes,No,Care a good deal,Will be close,No,Gotten worse,Democrat,Not worth it,Increased,Favor,Decreased,Increased,Oppose,No,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,,,Yes,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Oppose
out,100,West,AZ,19,Never married,13,R has never served in the military,Working now,Hispanic or Latino,Female  ,30,85,15,85,0,85,85,100,,100,15,0,15,100,0,50,100,100,100,100,90,85,85,100,,85,50,85,100,70,85,100,85,100,100,85,85,85,100,85,80,85,70,100,50,It doesnt matter,The same ,No,No,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Favor,Increased,Decreased,Favor,Yes,Important,Once a week or less,Yes,Heterosexual or straight,Somewhat important,Somewhat larger,,,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Favor
in,100,West,AZ,43,Married,6,R has never served in the military,Working now,Hispanic or Latino,Female  ,40,85,50,,,100,85,,,70,50,50,40,,40,60,,85,60,60,50,,,50,,60,60,,100,85,70,60,60,50,60,,,,85,,,,,50,,Better when one party controls both,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,No,Gotten worse,Other party ,Not worth it,Stayed about the same,,Kept about the same,Increased,Favor,No,Important,Once a week or less,No,Heterosexual or straight,Very important,Somewhat smaller,"1. By law, abortion should never be permitted.",Very important,Yes,Yes,Yes,Not very many are crooked,Approve,Approve,Favor
in,0,West,AZ,41,Divorced,14,Currently serving,Working now,White,Male  ,60,30,70,40,70,60,70,,0,85,70,60,85,30,85,50,70,50,100,50,50,40,50,50,70,,30,30,100,60,60,50,,,,,85,,,,50,,,,30,Better when control is split,Better,No,Yes,No,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Worth it,Decreased,,Increased,Kept about the same,Favor,Yes,Not important,Once a week or less,No,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Not too important,Yes,Yes,Yes,Not very many are crooked,Approve,Approve,Neither favor nor oppose
out,50,West,AZ,56,Divorced,12,Not currently serving but previously served,Temporarily laid off,Native American,Male  ,,,60,40,75,30,85,,25,30,80,15,85,50,85,50,70,85,70,15,50,70,85,70,50,70,50,85,85,30,85,50,70,70,70,70,70,70,85,85,70,70,70,70,70,Better when control is split,Better,Yes,No,No,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Decreased,Kept about the same,Oppose,Yes,Not important,Never,,Heterosexual or straight,Very important,Somewhat larger,,,Yes,No,Yes,Quite a few are crooked,Approve,Approve,Oppose
in,85,West,AZ,38,Never married,15,R has never served in the military,Working now,Hispanic or Latino,Male  ,40,70,60,70,50,70,85,60,50,70,60,30,60,50,50,50,60,50,60,50,50,50,50,50,50,50,50,50,60,40,50,60,50,50,50,50,50,50,50,50,50,50,50,50,50,Better when control is split,Worse,Yes,Yes,Yes,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,Kept about the same,Kept about the same,Favor,No,Not important,Never,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,15,West,AZ,60,Married,12,R has never served in the military,Working now,White,Female  ,60,15,85,30,70,60,40,70,60,40,70,50,70,30,85,50,85,50,85,0,0,50,85,50,50,0,40,30,70,50,50,60,70,50,0,50,50,50,50,50,50,0,0,50,50,Better when control is split,Worse,Yes,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Stayed about the same,Neither favor nor oppose,Kept about the same,Cut out entirely ,Favor,,Not important,Once a week or less,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Approve,Approve,Neither favor nor oppose
in,40,West,AZ,78,Married,12,Not currently serving but previously served,Retired,White,Male  ,100,40,100,40,100,60,50,100,100,50,85,54,55,40,55,55,55,51,55,15,40,50,53,55,40,40,55,20,55,20,55,15,55,50,45,55,55,51,55,55,55,45,45,55,40,Better when control is split,Better,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Decreased,,Increased,Increased,Favor,No,Important,Once a day,No,Heterosexual or straight,Very important,Somewhat larger,"1. By law, abortion should never be permitted.",Somewhat important,No,Yes,No,Not very many are crooked,Approve,Approve,Oppose
out,30,West,AZ,57,Married,15,R has never served in the military,Working now,White,Male  ,60,40,85,50,60,20,30,60,50,50,50,70,70,30,60,70,60,60,60,15,60,50,60,60,60,50,70,15,85,40,50,15,60,60,60,70,60,40,85,60,85,15,50,60,50,Better when control is split,Better,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Decreased,,Kept about the same,Kept about the same,Favor,No,Important,A few times a week,No,Heterosexual or straight,Very important,Somewhat larger,"3. The law should permit abortion for reasons other than rape, incest,",Somewhat important,No,No,Yes,Not very many are crooked,Approve,Approve,Favor
in,100,West,AZ,54,Never married,12,R has never served in the military,Permanently disabled,White,Male  ,0,100,15,60,0,60,40,60,0,60,15,0,60,60,0,85,100,100,100,0,70,70,100,70,100,100,60,85,100,40,60,0,100,85,85,100,70,30,85,100,100,85,100,100,100,Better when one party controls both,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Increased,,Increased,Kept about the same,Favor,No,Not important,Once a week or less,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Extremely important,No,Yes,No,Hardly any are crooked,Disapprove,Disapprove,Oppose
in,70,West,AZ,30,Never married,16,R has never served in the military,Working now,White,Female  ,30,70,60,50,30,60,60,30,15,50,40,50,50,60,40,50,60,70,70,60,70,60,60,60,60,60,30,50,50,40,60,60,50,50,50,50,60,15,60,50,60,50,50,40,60,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,Favor,Increased,Increased,Oppose,No,Not important,A few times a week,,Bisexual,Somewhat important,Somewhat larger,,,No,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
out,60,West,AZ,24,Divorced,14,R has never served in the military,Unemployed,Native American,Female  ,70,70,50,50,50,50,50,50,50,50,50,85,50,40,60,50,70,70,60,40,70,40,50,30,40,15,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,15,Better when control is split,Better,No,Yes,No,No,Dont care very much,Will be close,Yes,Stayed about the same,Independent,Worth it,Stayed about the same,,Increased,Increased,Favor,No,Important,A few times a week,No,Heterosexual or straight,Very important,About the same,"4. By law, a woman should always be able to obtain an abortion as a",Very important,Yes,Yes,Yes,Not very many are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Oppose
in,85,West,AZ,29,Never married,14,R has never served in the military,Working now,Native American,Male  ,25,85,50,50,40,85,100,60,50,50,50,30,60,50,70,40,100,100,100,50,40,60,85,100,100,85,30,70,100,40,50,40,85,100,85,85,40,40,60,100,60,50,60,50,100,Better when control is split,The same ,No,No,Yes,Yes,Care a good deal,Win by quite a bit,No,Gotten worse,Independent,Not worth it,Increased,Favor,Kept about the same,Increased,Oppose,No,Not important,Once a week or less,,Heterosexual or straight,Very important,About the same,,,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,100,West,AZ,52,Never married,16,R has never served in the military,Working now,Hispanic or Latino,Male  ,1,70,80,80,40,90,100,50,10,100,10,0,40,70,15,70,100,100,100,60,70,85,60,85,100,60,60,85,100,85,100,85,100,100,100,100,85,70,85,100,85,40,85,100,70,Better when control is split,Worse,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Stayed about the same,Democrat,Not worth it,Increased,Favor,Increased,Kept about the same,,No,Important,Once a day,No,Heterosexual or straight,Very important,About the same,,,No,No,No,Hardly any are crooked,Disapprove,Disapprove,Oppose
out,85,West,AZ,24,Never married,14,R has never served in the military,Working now,White,Male  ,30,60,40,50,40,70,70,,,70,50,15,30,70,40,50,60,50,85,30,30,50,50,50,50,50,50,50,50,60,60,60,50,50,50,50,50,50,50,50,40,50,50,50,40,It doesnt matter,The same ,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Decreased,Oppose,Kept about the same,Decreased,Oppose,No,Not important,Once a week or less,No,Heterosexual or straight,Somewhat important,About the same,,,Yes,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
out,85,West,AZ,63,Married,17,R has never served in the military,Working now,White,Male  ,25,85,35,90,30,60,75,15,10,75,30,30,38,85,20,85,50,85,80,65,60,85,40,85,85,85,70,70,50,30,85,50,85,85,75,85,40,30,85,85,85,85,60,85,80,Better when one party controls both,Worse,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Increased,Oppose,No,Not important,Never,,Heterosexual or straight,Very important,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,85,West,AZ,40,Never married,14,R has never served in the military,Working now,Black,Female  ,0,40,30,,,85,50,70,0,70,50,15,15,70,30,60,70,85,85,40,60,50,50,40,70,50,60,50,70,60,70,70,50,100,70,85,50,50,50,50,40,40,50,50,40,Better when control is split,Worse,No,Yes,Yes,Yes,Dont care very much,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,Oppose,No,Not important,Once a week or less,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,Yes,No,No,Not very many are crooked,Neither approve nor disapprove,Disapprove,Oppose
in,0,West,AZ,40,"6. Partnered, not married ",14,R has never served in the military,Working now,Asian,Male  ,100,0,85,15,15,0,50,,15,30,30,100,85,0,0,100,100,100,100,100,100,0,85,100,100,0,100,100,100,100,40,85,100,100,100,100,100,50,100,100,85,0,0,100,0,Better when control is split,Better,No,Yes,No,No,Care a good deal,Win by quite a bit,Yes,Stayed about the same,Independent,Worth it,Decreased,Favor,Kept about the same,Increased,Oppose,No,Important,Once a day,,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Hardly any are crooked,Approve,Approve,Oppose
in,70,West,AZ,53,Married,14,R has never served in the military,Working now,White,Female  ,40,60,60,,50,40,0,,30,70,50,0,60,60,30,70,85,85,85,0,15,100,60,70,85,0,60,60,85,30,70,60,100,100,50,100,100,70,100,100,30,50,50,100,50,Better when control is split,Worse,Yes,Yes,Yes,No,Dont care very much,Will be close,Yes,Gotten worse,Democrat,Worth it,Stayed about the same,Favor,Increased,Decreased,Favor,No,Important,Several times a day,No,Heterosexual or straight,Very important,Somewhat larger,,,Yes,Yes,No,Quite a few are crooked,Disapprove,Neither approve nor disapprove,Oppose
out,85,West,AZ,53,Never married,15,Not currently serving but previously served,Working now,White,Female  ,0,70,15,60,30,70,15,0,0,60,15,0,30,70,0,50,70,60,70,50,50,70,15,85,70,85,30,50,85,40,30,30,40,60,60,50,60,0,15,70,60,50,70,15,70,Better when control is split,Better,Yes,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Other party ,Not worth it,Stayed about the same,Oppose,,Increased,Oppose,Yes,Not important,Never,,Bisexual,Very important,Much larger,,,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,60,West,AZ,46,Married,17,Not currently serving but previously served,Working now,Asian,Female  ,50,,50,50,50,50,50,50,50,50,50,40,50,,40,40,50,60,50,40,40,50,50,40,50,40,50,40,50,40,50,40,50,40,50,50,50,50,60,50,50,50,60,60,50,Better when control is split,Worse,Yes,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Increased,,Increased,Increased,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Somewhat important,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
